Job Title,Company,Application Date,Status,Deadline,Follow-up Date,Notes
Software Engineer,Google,2026-05-10,Applied,2026-06-15,2026-05-20,Submitted online application through LinkedIn. Referred by current employee.
Data Analyst,Amazon,2026-05-15,Interviewing,2026-06-01,2026-05-22,First phone screen scheduled. Need to prepare SQL and case study examples.
UX Designer,Apple,2026-05-08,Rejected,2026-05-30,2026-05-18,Received rejection email after initial resume review. Will reapply in 6 months.
Frontend Developer,Microsoft,2026-05-12,Applied,2026-06-20,2026-05-25,Applied via company career portal. Tailored resume with React and TypeScript focus.
Machine Learning Engineer,Tesla,2026-05-03,Interviewing,2026-06-10,2026-05-17,Completed technical assessment. Awaiting onsite interview invitation.
Product Manager,Shopify,2026-05-16,Applied,2026-06-05,2026-05-30,Remote position. Connected with hiring manager on Twitter before applying.
DevOps Engineer,Netflix,2026-04-28,Offer,2026-05-25,2026-05-12,Received offer letter! $145k base + equity. Need to respond by May 25.
Backend Developer,Stripe,2026-05-14,Applied,2026-06-12,2026-05-28,Applied through Triplebyte. Strong emphasis on API design and system scalability.
Data Scientist,Meta,2026-05-01,Rejected,2026-06-08,2026-05-15,Didn't pass technical screen. Feedback: Need more experience with A/B testing frameworks.
Cybersecurity Analyst,CrowdStrike,2026-05-17,Applied,2026-06-25,2026-06-01,Fully remote role. Highlighted CISSP certification in cover letter.
Full Stack Developer,Airbnb,2026-05-05,Interviewing,2026-05-28,2026-05-19,Completed second round. Final culture fit interview next week. Preparing portfolio demo.
Cloud Architect,AWS,2026-05-09,Applied,2026-06-18,2026-05-26,Applied with AWS Solutions Architect Professional certification. Seattle-based hybrid role.
QA Engineer Lead,Spotify,2026-05-13,Applied,2026-06-22,2026-06-05,Applied via Glassdoor. Company culture seems great. Focus on automation testing.
Mobile Developer,Snap,2026-04-25,Rejected,2026-05-20,2026-05-10,Position filled internally. Recruiter suggested reapplying for iOS team in Q3.
Business Intelligence Analyst,Salesforce,2026-05-16,Interviewing,2026-06-08,2026-05-24,First interview completed. Case study assignment due by Friday. Focus on Tableau dashboards.